Index Coefficient
-26 -0.000914
-25 0.000217
-24 0.001327
-23 0.000321
-22 -0.001924
-21 -0.001468
-20 0.002363
-19 0.003485
-18 -0.001993
-17 -0.006284
-16 0.000000
-15 0.009267
-14 0.004343
-13 -0.011271
-12 -0.011402
-11 0.010631
-10 0.020964
-9 -0.005258
-8 -0.032156
-7 -0.007545
-6 0.043546
-5 0.032593
-4 -0.053414
-3 -0.085682
-2 0.060122
-1 0.311186
0 0.437500
1 0.311186
2 0.060122
3 -0.085682
4 -0.053414
5 0.032593
6 0.043546
7 -0.007545
8 -0.032156
9 -0.005258
10 0.020964
11 0.010631
12 -0.011402
13 -0.011271
14 0.004343
15 0.009267
16 0.000000
17 -0.006284
18 -0.001993
19 0.003485
20 0.002363
21 -0.001468
22 -0.001924
23 0.000321
24 0.001327
25 0.000217
26 -0.000914
